Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
allegroai/clearml-agent,https://github.com/allegroai/clearml-agent,FALSE,10/25/2019 19:17,"['devops', 'kubernetes', 'deep-learning', 'deeplearning', 'machine-learning', 'cluster-manager', 'mlops', 'trains', 'clearml-agent', 'trains-agent', 'gpu', 'deep-learning-devops', 'k8s', 'orchestration']",175,15,60,28,13,Python,6558,55,1,2,54,565,0,0,0
jizhishutong/YOLOU,https://github.com/jizhishutong/YOLOU,FALSE,7/25/2022 14:14,"['yolo', 'ncnn', 'openvino', 'tensorrt', 'tengine', 'yolov5', 'yolov6', 'yoloe']",608,13,111,0,3,Jupyter Notebook,335729,34,1,6,0,46,0,0,0
allegroai/clearml-blogs,https://github.com/allegroai/clearml-blogs,FALSE,2/2/2020 13:09,[],10,7,2,0,3,Python,586,1,1,1,0,34,0,0,0
coqui-ai/Trainer,https://github.com/coqui-ai/Trainer,FALSE,10/11/2021 13:54,"['pytorch', 'deep-learning', 'machine-learning', 'ai', 'data-science']",43,7,23,12,7,Python,220,13,5,16,12,154,0,0,0
XiaFire/cvmart-yolov5,https://github.com/XiaFire/cvmart-yolov5,FALSE,8/13/2022 7:34,[],5,0,4,0,1,Python,14209,0,0,1,0,17,0,0,0
GuyTevet/motion-diffusion-model,https://github.com/GuyTevet/motion-diffusion-model,FALSE,9/29/2022 11:24,[],1238,61,82,0,2,Python,898,11,1,1,0,10,0,0,0
pytorch-ignite/examples,https://github.com/pytorch-ignite/examples,FALSE,7/13/2021 8:54,"['hacktoberfest', 'pytorch-ignite', 'tutorials', 'how-to-guide', 'examples']",7,6,12,0,9,Jupyter Notebook,10235,10,3,8,0,79,0,0,0
MichalOp/MineRL2020,https://github.com/MichalOp/MineRL2020,FALSE,7/12/2020 14:43,[],13,1,5,0,1,Python,138069,1,0,2,0,28,0,0,0
megvii-research/basecls,https://github.com/megvii-research/basecls,FALSE,9/16/2021 9:02,"['megengine', 'classification', 'pretrained-models', 'imagenet-classifier', 'distributed-training']",26,6,2,0,3,Python,916,3,3,5,0,12,0,0,0
ultralytics/yolov5,https://github.com/ultralytics/yolov5,FALSE,5/18/2020 3:45,"['yolov3', 'yolov4', 'yolov5', 'object-detection', 'pytorch', 'onnx', 'coreml', 'ios', 'tflite', 'yolo', 'deep-learning', 'machine-learning', 'ml']",32112,324,11558,9,272,Python,13707,310,36,30,9,2427,109,0,0
jambit/sensAI,https://github.com/jambit/sensAI,FALSE,2/18/2020 18:48,"['artificial-intelligence', 'machine-learning', 'python']",11,4,2,19,4,Python,6770,9,0,9,21,932,2,0,126
MichalOp/StarTrain,https://github.com/MichalOp/StarTrain,FALSE,9/8/2021 10:17,[],8,1,0,0,1,Python,154,1,0,1,0,11,0,0,0
allegroai/clearml-serving,https://github.com/allegroai/clearml-serving,FALSE,4/12/2021 0:08,"['machine-learning', 'mlops', 'devops', 'deep-learning', 'kubernetes', 'ai', 'clearml', 'model-serving', 'serving', 'serving-pytorch-models', 'serving-ml', 'tensorflow-serving', 'triton', 'triton-inference-server']",45,6,18,6,6,Python,2060,17,0,2,6,98,0,0,0
xuarehere/yolovx_deepsort_pytorch,https://github.com/xuarehere/yolovx_deepsort_pytorch,FALSE,7/13/2022 10:47,"['cnn-model', 'pytorch', 'sort', 'yolo', 'yolov3', 'yolov4', 'yolov4-deepsort', 'yolov5', 'yolov5-deepsort', 'yolov5-deepsort-pytorch', 'yolov6', 'yolov7', 'yolov6-deepsort', 'yolov7-deepsort', 'deepsort', 'deep-sort', 'deep-sort-tracking', 'mot-tracking', 'object-tracking', 'mot']",20,2,8,0,1,Python,30619,1,0,1,4,19,0,0,0
vidhyadharan-k/YOLOv7-Semantic-Segmentation,https://github.com/vidhyadharan-k/YOLOv7-Semantic-Segmentation,FALSE,9/27/2022 17:28,[],7,1,1,0,1,Python,1402,1,0,1,0,12,0,0,0
emiliawisnios/Machine_Learning_Masters,https://github.com/emiliawisnios/Machine_Learning_Masters,FALSE,10/19/2021 17:14,[],6,2,0,0,1,Jupyter Notebook,48560,2,0,1,0,126,0,0,0
HerringForks/SMDDP-Examples,https://github.com/HerringForks/SMDDP-Examples,FALSE,8/10/2021 20:21,[],6,7,9,0,19,Python,3825,2,2,2,0,78,0,0,0
RizwanMunawar/yolov7-segmentation,https://github.com/RizwanMunawar/yolov7-segmentation,FALSE,8/19/2022 13:23,"['yolov7-mask', 'imagesegmentation', 'medium-article', 'opencv-python', 'yolov5']",67,1,23,1,2,Python,5069,10,0,1,2,94,0,0,0
positive666/yolov5_research,https://github.com/positive666/yolov5_research,FALSE,2/25/2021 11:02,"['yolov5', 'deepstream', 'pytorch', 'object-detection', 'attention-mechanism', 'swintransformer', 'custom-networ', 'yolov7']",449,9,121,0,97,Python,25574,2,0,1,0,1483,2,0,0
BibleNLP/ebible,https://github.com/BibleNLP/ebible,FALSE,8/22/2021 0:42,[],11,3,0,0,4,Jupyter Notebook,329498,1,0,2,0,27,0,0,0
okojoalg/raft-mlp,https://github.com/okojoalg/raft-mlp,FALSE,7/28/2021 9:18,[],20,2,4,0,1,Python,129,1,0,2,0,4,0,0,0
sillsdev/silnlp,https://github.com/sillsdev/silnlp,FALSE,11/20/2020 6:31,[],15,7,3,0,5,Python,11904,35,1,15,0,583,7,0,6
IBM/quality-controlled-paraphrase-generation,https://github.com/IBM/quality-controlled-paraphrase-generation,FALSE,3/20/2022 12:54,"['ibm-research-ai', 'ibm-research', 'paraphrase-generation', 'acl2022']",46,3,5,0,4,Python,24852,0,0,1,0,33,0,0,0
zetang94/ICSE2022_AST_Trans,https://github.com/zetang94/ICSE2022_AST_Trans,FALSE,1/28/2022 13:02,[],10,2,3,0,1,Python,6236,2,0,1,0,6,0,0,0
RootKit-Org/AI-Aimbot,https://github.com/RootKit-Org/AI-Aimbot,FALSE,1/9/2022 3:29,"['machine-learning', 'aimbot', 'aimbotcsgo', 'video-game-ai', 'aimbot-valorant', 'aimbot-tarkov', 'ai-aimbot', 'ml-aimbot']",79,6,30,6,4,Python,29035,13,2,2,6,49,0,0,0
DuGuYifei/Yolov5_FPS_AICheatPrinciple,https://github.com/DuGuYifei/Yolov5_FPS_AICheatPrinciple,FALSE,9/5/2022 20:15,[],17,1,6,0,1,Python,39482,0,0,1,0,6,0,0,0
pytorch-ignite/pytorch-ignite.ai,https://github.com/pytorch-ignite/pytorch-ignite.ai,FALSE,6/16/2021 10:20,['pytorch-ignite'],7,5,6,0,11,Jupyter Notebook,9203,8,5,7,0,179,0,0,123
ai-in-motion/moai,https://github.com/ai-in-motion/moai,FALSE,1/27/2021 14:49,"['pytorch', 'mdk', 'deep-learning', 'cnn', 'computer-vision', 'human-pose-estimation', 'object-pose-estimation', 'vae', 'vae-pytorch', 'depth-estimation', 'reproducible-research', 'reproducibility', 'data-driven', 'artificial-intelligence', 'neural-network', 'convolutional-neural-networks', 'experimentation', 'hydra']",33,5,5,0,8,Python,6587,0,0,1,0,248,0,0,0
sillsdev/machine.py,https://github.com/sillsdev/machine.py,FALSE,7/22/2021 4:04,[],6,7,1,0,1,Python,1768,2,0,3,25,212,0,0,0
megvii-research/zipfls,https://github.com/megvii-research/zipfls,FALSE,7/19/2022 13:17,"['knowledge-distillation', 'zipfs-law']",19,2,0,0,2,Python,2402,0,0,1,0,20,0,0,0
pkchat-focus/FoCus,https://github.com/pkchat-focus/FoCus,FALSE,1/12/2022 3:23,"['nlp', 'deep-learning', 'dialog', 'pytorch', 'chatbots', 'gpt2', 'bart', 'focus', 'conversational-ai', 'conversational-agents']",35,2,5,0,2,Python,640,1,0,1,0,39,0,0,0
BrianG13/FLEX,https://github.com/BrianG13/FLEX,FALSE,3/13/2021 21:59,[],26,5,4,0,2,Python,8912,2,0,1,0,35,0,0,32
fcakyon/yolov5-pip,https://github.com/fcakyon/yolov5-pip,FALSE,2/10/2021 11:36,"['yolo', 'yolov5', 'object-detection', 'pytorch', 'python', 'pip', 'ultralytics', 'yolov3', 'yolov4', 'machine-learning', 'deep-learning', 'computer-vision', 'aws', 'coco', 'neptune', 'neptune-ai', 's3', 'pypi', 'cli']",196,2,46,39,6,Python,1480,0,0,2,39,206,0,0,0
Deep-Spark/deepsparkhub,https://github.com/Deep-Spark/deepsparkhub,FALSE,9/8/2022 9:07,[],15,3,4,0,1,Python,231320,0,0,1,0,3,0,0,0
