Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
alceubissoto/deconstructing-bias-skin-lesion,https://github.com/alceubissoto/deconstructing-bias-skin-lesion,FALSE,4/3/2019 16:07,[],17,1,2,0,1,Python,483,0,0,1,0,8,0,0,0
ZJLAB-AMMI/Q-Net,https://github.com/ZJLAB-AMMI/Q-Net,FALSE,8/24/2022 7:04,"['anomaly-detection', 'few-shot-learning', 'image-segmentation', 'meta-learning-algorithms', 'prototype']",7,1,1,0,2,Jupyter Notebook,111457,0,0,1,0,46,0,0,0
minhoolee/Synopsys-Project-2017,https://github.com/minhoolee/Synopsys-Project-2017,FALSE,12/20/2016 19:32,"['deep-learning', 'bioinformatics', 'synopsys', 'genetics', 'keras', 'diabetes']",14,3,3,0,2,Jupyter Notebook,2806,3,3,4,0,65,0,0,0
solivr/tf-crnn,https://github.com/solivr/tf-crnn,FALSE,5/5/2017 9:38,"['tensorflow', 'crnn', 'htr', 'handwritten-text-recognition']",287,22,100,0,3,Python,1268,5,0,1,7,249,0,0,0
jongwook/onsets-and-frames,https://github.com/jongwook/onsets-and-frames,FALSE,12/5/2018 9:42,[],152,5,53,0,5,Python,707498,14,1,2,0,35,0,0,0
benfinkelshtein/SINGLE,https://github.com/benfinkelshtein/SINGLE,FALSE,11/5/2020 17:18,[],8,1,2,0,2,Python,588,0,0,1,0,20,0,0,0
EdwinYam/J-Net,https://github.com/EdwinYam/J-Net,FALSE,10/1/2019 15:25,[],10,2,0,0,1,Python,869,0,0,4,0,27,0,0,0
bilylee/SiamFC-TensorFlow,https://github.com/bilylee/SiamFC-TensorFlow,FALSE,11/29/2017 15:12,"['tensorflow', 'tracking', 'siamese-network', 'real-time', 'siamese-fc']",350,17,113,0,2,Python,3003,26,1,1,0,7,0,0,0
plai-group/covid,https://github.com/plai-group/covid,FALSE,3/20/2020 23:47,[],26,7,2,0,5,Python,11412,0,0,3,0,162,0,0,0
fgnt/padertorch,https://github.com/fgnt/padertorch,FALSE,12/10/2019 12:46,"['pytorch', 'audio', 'speech']",59,9,14,0,9,Python,2051,7,3,6,0,1911,6,0,0
sen-pai/InfoGAIL,https://github.com/sen-pai/InfoGAIL,FALSE,6/16/2021 13:41,"['imitation-learning', 'gail', 'wgan']",9,2,2,0,2,Python,153,3,0,4,0,25,0,0,0
jefflai108/ASSERT,https://github.com/jefflai108/ASSERT,FALSE,4/2/2019 14:43,"['asvspoof', 'anti-spoofing', 'spoofing-attack', 'automatic-speaker-verification']",51,5,31,0,1,MATLAB,108789,8,0,1,0,35,0,0,0
sfu-gruvi-3dv/sanet_relocal_demo,https://github.com/sfu-gruvi-3dv/sanet_relocal_demo,FALSE,7/28/2019 23:46,[],46,4,10,0,1,Python,972,6,0,1,0,9,0,0,0
JarnoRFB/pydata_berlin_sacred,https://github.com/JarnoRFB/pydata_berlin_sacred,FALSE,2/10/2019 22:14,"['sacred', 'machine-learning', 'experiment-tracking', 'tutorial']",9,2,2,0,1,Jupyter Notebook,170,0,0,1,0,17,0,0,0
Haipeng-Chen/RL4IM-Contingency,https://github.com/Haipeng-Chen/RL4IM-Contingency,FALSE,6/5/2021 19:34,[],5,2,2,0,3,Python,271107,0,0,1,0,361,0,0,0
LanglandsLin/MS2L,https://github.com/LanglandsLin/MS2L,FALSE,7/8/2021 10:59,[],12,2,0,0,0,Python,416,5,0,1,0,6,0,0,0
ai-how/TIme-series-clustering,https://github.com/ai-how/TIme-series-clustering,FALSE,10/13/2019 4:18,[],6,3,1,0,1,Jupyter Notebook,1635,0,0,1,0,6,0,0,0
mohanpb/Relational-NEM-pytorch,https://github.com/mohanpb/Relational-NEM-pytorch,FALSE,6/16/2018 8:18,[],6,2,1,0,1,Python,56,0,0,1,0,10,0,0,0
m-bain/frozen-in-time,https://github.com/m-bain/frozen-in-time,FALSE,4/3/2021 11:13,[],208,11,22,0,2,Python,409,6,0,2,0,68,3,0,0
yobibyte/amorpheus,https://github.com/yobibyte/amorpheus,FALSE,4/13/2021 11:14,[],29,3,1,0,1,Python,229,1,0,1,0,2,0,0,0
Mastercorp/SiamU-Net,https://github.com/Mastercorp/SiamU-Net,FALSE,10/17/2020 11:37,"['u-net', 'siamu-net', 'isbi2012', 'semantic-segmentation', 'neural-network']",7,1,2,0,1,Python,100,0,0,1,0,15,0,0,0
daviddiazvico/scikit-datasets,https://github.com/daviddiazvico/scikit-datasets,FALSE,10/24/2017 19:10,[],13,2,3,37,3,Python,9528,4,0,4,37,150,2,0,59
HumanCompatibleAI/human_aware_rl,https://github.com/HumanCompatibleAI/human_aware_rl,FALSE,8/6/2019 20:19,[],85,9,37,0,7,Python,76729,6,2,10,0,174,0,0,0
TUM-DAML/gemnet_pytorch,https://github.com/TUM-DAML/gemnet_pytorch,FALSE,10/11/2021 7:30,"['paper', 'gnn', 'pytorch', 'graph-neural-networks']",114,3,16,0,3,Python,81071,0,0,1,0,33,0,0,0
awslabs/gluonts,https://github.com/awslabs/gluonts,FALSE,5/15/2019 17:17,"['time-series', 'deep-learning', 'forecasting', 'neural-networks', 'machine-learning', 'time-series-prediction', 'time-series-forecasting', 'mxnet', 'pytorch', 'aws', 'sagemaker', 'timeseries', 'artificial-intelligence', 'data-science']",3091,70,634,60,89,Python,12228,325,90,12,62,1081,8,0,0
takeshi-teshima/few-shot-domain-adaptation-by-causal-mechanism-transfer,https://github.com/takeshi-teshima/few-shot-domain-adaptation-by-causal-mechanism-transfer,FALSE,6/11/2020 2:27,[],27,3,12,0,2,Python,11087,38,37,40,0,2,0,0,8
michimoeller/liftingLayers,https://github.com/michimoeller/liftingLayers,FALSE,7/10/2018 14:45,[],11,4,0,0,3,MATLAB,6940,10,10,11,0,25,0,0,0
sanskrit-coders/doc_curation,https://github.com/sanskrit-coders/doc_curation,FALSE,11/10/2018 22:32,[],6,4,4,0,6,Python,1481,5,3,5,0,455,0,0,320
MkuuWaUjinga/leopart,https://github.com/MkuuWaUjinga/leopart,FALSE,3/26/2022 18:56,[],52,2,6,0,1,Python,30035,1,0,1,0,19,0,0,0
mkoshkina/teamId,https://github.com/mkoshkina/teamId,FALSE,4/7/2021 16:53,[],9,1,2,0,1,Python,1874,1,0,2,0,17,0,0,6
valeoai/LightConvPoint,https://github.com/valeoai/LightConvPoint,FALSE,3/17/2020 17:17,[],55,6,12,2,2,Python,649,5,0,2,2,37,0,0,0
benadar293/benadar293.github.io,https://github.com/benadar293/benadar293.github.io,FALSE,2/13/2022 14:22,[],10,1,0,0,1,JavaScript,428371,0,0,1,0,296,0,0,76
rajatvd/NTK,https://github.com/rajatvd/NTK,FALSE,11/10/2019 5:30,[],129,4,21,0,1,Jupyter Notebook,5170,0,0,1,0,22,0,0,0
exalearn/molecular-graph-descriptors,https://github.com/exalearn/molecular-graph-descriptors,FALSE,6/26/2020 19:03,[],11,9,7,0,2,Python,2617,0,0,2,0,13,0,0,0
zhjohnchan/M3AE,https://github.com/zhjohnchan/M3AE,FALSE,7/12/2022 17:09,[],33,1,3,0,1,Python,76,2,0,1,0,3,0,0,0
TomVeniat/bsn,https://github.com/TomVeniat/bsn,FALSE,5/18/2018 12:56,[],27,3,5,0,1,Python,27,0,0,1,0,3,0,0,0
kata-ai/id-word2vec,https://github.com/kata-ai/id-word2vec,FALSE,6/10/2019 7:44,[],13,5,0,0,1,Python,16,0,0,1,0,1,0,0,0
p-christ/nn_builder,https://github.com/p-christ/nn_builder,FALSE,1/21/2019 9:29,[],153,13,21,2,2,Python,15948,5,2,3,2,222,0,0,0
AU-DIS/LSTM_langid,https://github.com/AU-DIS/LSTM_langid,FALSE,2/9/2021 12:54,[],20,6,10,0,1,Jupyter Notebook,31850,0,0,1,0,3,0,0,0
Rhyssiyan/DER-ClassIL.pytorch,https://github.com/Rhyssiyan/DER-ClassIL.pytorch,FALSE,3/29/2021 6:34,[],96,9,16,0,2,Python,56,6,0,1,0,5,0,0,0
TomVeniat/SANAS,https://github.com/TomVeniat/SANAS,FALSE,10/30/2018 15:27,[],65,5,7,0,1,Python,49,0,0,1,0,3,0,0,0
wendelinboehmer/dcg,https://github.com/wendelinboehmer/dcg,FALSE,6/3/2020 18:48,[],59,5,18,0,2,Python,163,8,7,8,0,9,0,0,0
QUVA-Lab/artemis,https://github.com/QUVA-Lab/artemis,FALSE,4/29/2016 9:58,[],224,8,32,7,5,Python,2097,23,5,39,9,922,1,0,0
yunlu-chen/PointMixup,https://github.com/yunlu-chen/PointMixup,FALSE,7/12/2020 18:32,[],82,8,7,0,1,Python,49,8,0,1,0,4,0,0,0
chloeminkyung/MS_MARCOV2,https://github.com/chloeminkyung/MS_MARCOV2,FALSE,6/15/2018 7:21,"['bidaf-pytorch', 'msmarco', 'mrc']",7,3,1,0,1,Python,1158,0,0,1,0,23,0,0,0
ratschlab/bnn_priors,https://github.com/ratschlab/bnn_priors,FALSE,2/12/2021 14:07,[],39,4,7,1,4,Python,35297,1,1,1,1,511,0,0,0
fepegar/resseg-ijcars,https://github.com/fepegar/resseg-ijcars,FALSE,1/4/2021 18:27,"['medical-image-computing', 'convolutional-neural-networks', 'segmentation', 'tumor', 'epilepsy', 'mri', 'computer-vision']",7,1,2,0,2,Python,47,0,0,1,0,14,0,0,0
stadlmax/Graph-Posterior-Network,https://github.com/stadlmax/Graph-Posterior-Network,FALSE,11/13/2021 22:53,"['machine-learning', 'graph-neural-networks', 'uncertainty-estimation']",27,3,8,0,1,Python,15520,1,0,1,0,6,0,0,0
arthurmensch/online_sinkhorn,https://github.com/arthurmensch/online_sinkhorn,FALSE,10/31/2019 15:40,[],13,0,2,0,1,Python,1151,0,0,3,0,69,0,0,0
Hellisk/map-service,https://github.com/Hellisk/map-service,FALSE,4/11/2017 15:12,[],9,2,2,0,2,JavaScript,7623,1,0,2,0,187,0,0,0
hijkzzz/pymarl2,https://github.com/hijkzzz/pymarl2,FALSE,2/6/2021 0:50,"['marl', 'smac', 'starcraft', 'sota', 'reinforcement-learning']",391,17,104,0,1,Python,370,0,0,1,0,159,0,0,0
pinae/UnsharpDetector,https://github.com/pinae/UnsharpDetector,FALSE,4/7/2018 18:55,[],8,6,4,0,2,Python,8936,1,0,1,0,79,0,0,0
asvspoof/D3M,https://github.com/asvspoof/D3M,FALSE,11/8/2019 4:07,"['speaker-verification', 'anti-spoofing', 'focal-loss']",23,2,3,0,2,Python,2219,7,7,9,0,61,0,0,0
uclnlp/jack,https://github.com/uclnlp/jack,FALSE,7/18/2016 21:58,"['deep-learning', 'natural-language-processing', 'tensorflow', 'question-answering', 'knowledge-base', 'natural-language-inference']",255,29,84,1,18,Python,29413,26,1,19,1,2425,21,0,936
TonghanWang/NDQ,https://github.com/TonghanWang/NDQ,FALSE,2/19/2020 9:11,[],68,5,13,0,1,Python,6107,7,7,8,0,6,0,0,0
miafei/NodeNorm,https://github.com/miafei/NodeNorm,FALSE,6/12/2020 10:18,[],24,4,2,0,1,Python,40,1,0,1,0,10,0,0,0
jgc128/mednli,https://github.com/jgc128/mednli,FALSE,8/19/2018 12:17,[],104,9,29,0,2,Python,71,13,9,10,0,33,0,0,28
duguyue100/spikefuel,https://github.com/duguyue100/spikefuel,FALSE,3/3/2016 10:03,[],13,1,9,1,1,Python,513,0,0,1,1,28,0,0,0
glotzerlab/signac-examples,https://github.com/glotzerlab/signac-examples,FALSE,1/30/2019 22:57,['hacktoberfest'],11,10,7,0,12,Jupyter Notebook,1136,9,3,17,0,449,0,0,0
ansonb/RECON,https://github.com/ansonb/RECON,FALSE,1/16/2021 14:19,"['graph-neural-networks', 'relation-extraction', 'context-graph']",27,4,10,0,2,Python,207,1,0,1,0,47,0,0,0
paaatcha/my-thesis,https://github.com/paaatcha/my-thesis,FALSE,8/30/2020 20:47,[],6,2,0,0,1,Jupyter Notebook,367,0,0,1,0,3,0,0,0
PaddlePaddle/VIMER,https://github.com/PaddlePaddle/VIMER,FALSE,11/2/2021 5:23,[],298,20,64,0,9,Python,41106,12,0,2,0,237,0,0,0
dvl-tum/defocus-net,https://github.com/dvl-tum/defocus-net,FALSE,3/30/2020 20:44,[],49,5,3,0,1,Python,14410,7,0,1,0,4,0,0,0
mlelarge/graph_neural_net,https://github.com/mlelarge/graph_neural_net,FALSE,2/5/2020 9:02,"['gnn', 'deep-learning', 'graph', 'graph-neural-networks', 'pytorch']",36,3,17,1,4,Python,4178,0,0,3,1,357,0,0,0
Jiwonjeon9603/MASER,https://github.com/Jiwonjeon9603/MASER,FALSE,6/2/2022 6:14,[],7,1,2,0,1,Python,209,1,0,1,0,10,0,0,0
gereleth/kaggle-telstra,https://github.com/gereleth/kaggle-telstra,FALSE,3/4/2016 11:56,[],73,4,38,0,2,Jupyter Notebook,3427,0,0,1,0,17,0,0,0
JarnoRFB/incense,https://github.com/JarnoRFB/incense,FALSE,9/18/2018 10:02,"['sacred', 'machine-learning', 'mongodb']",77,2,5,13,3,Python,434,15,0,2,16,58,0,0,0
onurgu/ner-tagger-dynet,https://github.com/onurgu/ner-tagger-dynet,FALSE,4/22/2017 14:15,"['named-entity-recognition', 'tensorflow', 'reimplementation', 'sequence-tagger', 'neural-networks', 'bi-lstm', 'dynet']",23,7,10,0,2,sed,236,0,0,5,4,80,0,0,0
DLR-SC/repository-synergy,https://github.com/DLR-SC/repository-synergy,FALSE,5/8/2021 7:51,[],5,6,6,0,1,Jupyter Notebook,103486,1,0,1,0,8,0,0,0
IIPCVLAB/LCCNet,https://github.com/IIPCVLAB/LCCNet,FALSE,1/28/2021 11:31,[],31,3,18,0,2,Python,1806,8,1,1,0,54,0,0,0
WooRaZil-Boy/Raywenderlich_iOS,https://github.com/WooRaZil-Boy/Raywenderlich_iOS,FALSE,8/24/2017 20:43,[],14,3,4,0,1,Jupyter Notebook,621901,7,7,8,0,476,0,0,0
Eryk96/NetSurfP-3.0,https://github.com/Eryk96/NetSurfP-3.0,FALSE,1/13/2021 9:43,"['python', 'pytorch', 'protein-structure-prediction', 'docker']",11,4,4,0,2,Jupyter Notebook,39322,6,0,1,0,92,0,0,0
HumanCompatibleAI/nn-clustering-pytorch,https://github.com/HumanCompatibleAI/nn-clustering-pytorch,FALSE,10/21/2020 22:02,[],5,4,1,0,3,Python,598,2,2,13,0,203,0,0,0
TUM-DAML/dbu-robustness,https://github.com/TUM-DAML/dbu-robustness,FALSE,6/13/2021 10:35,[],12,2,0,0,1,Python,441,0,0,1,0,1,0,0,0
mrahtz/tf-sac,https://github.com/mrahtz/tf-sac,FALSE,7/13/2019 9:18,[],10,1,1,0,1,Python,8558,2,2,3,0,60,0,0,0
elastic/ml-cpp,https://github.com/elastic/ml-cpp,FALSE,2/20/2018 12:13,[],135,287,60,0,16,C++,50609,81,1,32,127,1028,3,0,0
QDPP-GitHub/QDPP,https://github.com/QDPP-GitHub/QDPP,FALSE,4/12/2020 14:56,[],35,2,7,0,1,Jupyter Notebook,4099,12,10,11,0,13,0,0,0
Lkruitwagen/deepsentinel,https://github.com/Lkruitwagen/deepsentinel,FALSE,5/19/2020 19:48,[],32,3,6,0,2,Python,732,10,1,2,0,45,0,0,0
koustuvsinha/hier-class,https://github.com/koustuvsinha/hier-class,FALSE,2/22/2018 17:01,[],25,4,8,0,1,Python,207,2,0,4,0,3,1,0,0
Whadup/EquationLearning,https://github.com/Whadup/EquationLearning,FALSE,3/15/2019 8:57,[],5,3,1,0,2,Python,131,0,0,1,0,53,0,0,43
duguyue100/conceptors,https://github.com/duguyue100/conceptors,FALSE,2/25/2015 9:16,[],23,7,8,0,1,Python,218,0,0,1,0,32,0,0,0
alexa/teach,https://github.com/alexa/teach,FALSE,9/24/2021 0:19,[],88,5,21,0,3,Python,362,10,0,1,0,23,0,0,0
fgnt/pb_chime5,https://github.com/fgnt/pb_chime5,FALSE,10/8/2018 13:35,[],98,10,37,0,14,Python,672,4,1,2,0,797,0,0,0
shariqiqbal2810/REFIL,https://github.com/shariqiqbal2810/REFIL,FALSE,7/19/2020 23:14,[],46,2,12,0,1,Python,321,1,0,1,0,5,0,0,0
yangdongchao/DCASE2021Task5,https://github.com/yangdongchao/DCASE2021Task5,FALSE,6/11/2021 3:14,[],14,3,1,0,1,Python,5704,1,0,1,0,12,0,0,0
hermannsblum/fishyscapes,https://github.com/hermannsblum/fishyscapes,FALSE,7/26/2019 14:16,[],5,2,14,0,2,Python,6357,4,4,5,0,80,1,0,44
HumanCompatibleAI/imitation,https://github.com/HumanCompatibleAI/imitation,FALSE,12/8/2018 5:15,"['reward-learning', 'inverse-reinforcement-learning', 'imitation-learning']",577,13,120,5,21,Python,27985,37,10,28,5,585,1,0,0
zdou0830/METER,https://github.com/zdou0830/METER,FALSE,11/3/2021 16:57,[],230,7,24,2,1,Python,70,10,0,1,2,20,0,0,0
uvavision/RerankingTransformer,https://github.com/uvavision/RerankingTransformer,FALSE,9/5/2021 11:44,[],79,4,15,0,1,Python,110107,0,0,2,0,12,0,0,0
Theohhhu/UPDeT,https://github.com/Theohhhu/UPDeT,FALSE,1/20/2021 4:51,[],93,3,14,0,2,Python,1483,0,0,1,0,7,0,0,0
pinae/Superresolution,https://github.com/pinae/Superresolution,FALSE,10/28/2016 11:33,[],20,5,4,0,1,Python,878,1,0,1,0,38,0,0,0
MilesCranmer/gnn_resource_allocation,https://github.com/MilesCranmer/gnn_resource_allocation,FALSE,5/8/2021 2:49,"['pytorch', 'deep-learning', 'neural-network', 'graph-neural-networks', 'machine-learning', 'astronomy', 'astrophysics', 'cosmology', 'inference', 'resource-allocation']",21,3,1,0,1,Python,8510,0,0,1,0,26,0,0,0
cheng-01037/Self-supervised-Fewshot-Medical-Image-Segmentation,https://github.com/cheng-01037/Self-supervised-Fewshot-Medical-Image-Segmentation,FALSE,9/6/2020 9:32,[],230,4,34,0,1,Python,2657,5,0,3,0,70,0,0,0
oxwhirl/wqmix,https://github.com/oxwhirl/wqmix,FALSE,10/21/2020 13:59,[],76,3,26,0,1,Python,72,6,0,1,0,3,0,0,0
dhlab-epfl/dhSegment-torch,https://github.com/dhlab-epfl/dhSegment-torch,FALSE,12/10/2019 9:27,[],26,7,7,1,8,Python,17792,5,2,4,1,572,0,0,0
bayesiains/nsf,https://github.com/bayesiains/nsf,FALSE,6/10/2019 13:21,[],215,12,41,0,4,Python,145,5,2,1,0,21,0,0,0
YiqinYang/ICQ,https://github.com/YiqinYang/ICQ,FALSE,6/24/2021 4:33,"['deep-reinforcement-learning', 'deep-rl', 'multi-agent-reinforcement-learning', 'mutli-agent', 'offline', 'pytorch', 'reinforcement-learning']",41,1,7,0,2,Python,1105,4,0,1,0,69,0,0,0
craigmacartney/Wave-U-Net-For-Speech-Enhancement,https://github.com/craigmacartney/Wave-U-Net-For-Speech-Enhancement,FALSE,11/29/2018 18:48,[],171,6,37,0,1,Python,8781,6,0,1,0,6,2,0,0
PacktPublishing/Deep-Learning-with-Keras,https://github.com/PacktPublishing/Deep-Learning-with-Keras,FALSE,4/21/2017 9:31,[],1041,103,729,0,7,Jupyter Notebook,1723,2,2,1,0,75,1,0,0
Yusufma03/DPFRL,https://github.com/Yusufma03/DPFRL,FALSE,1/29/2020 2:45,[],23,5,2,0,2,Python,52,2,1,2,0,7,0,0,0
amtseng/fourier_attribution_priors,https://github.com/amtseng/fourier_attribution_priors,FALSE,9/12/2019 0:17,"['attribution-priors', 'deep-learning', 'genomics', 'interpretability', 'fourier']",8,2,1,0,1,Jupyter Notebook,101611,0,0,2,0,209,0,0,0
guilk/VLC,https://github.com/guilk/VLC,FALSE,5/18/2022 21:00,[],24,5,3,2,1,Python,387,0,0,1,2,9,0,0,0
tgangwani/BMIL,https://github.com/tgangwani/BMIL,FALSE,6/19/2019 8:37,"['reinforcement-learning', 'imitation-learning', 'deep-learning', 'pomdps', 'pytorch']",16,3,5,0,1,Python,516,2,0,1,0,5,0,0,0
vmasrani/ml_project_skeleton,https://github.com/vmasrani/ml_project_skeleton,FALSE,1/25/2019 20:43,[],5,2,1,0,1,TeX,762,0,0,1,0,28,0,0,0
wenwei202/iss-rnns,https://github.com/wenwei202/iss-rnns,FALSE,9/7/2017 19:38,"['tensorflow', 'lstm', 'recurrent-neural-networks', 'sparsity', 'model-compression', 'sparse-lstms', 'structure', 'iclr']",72,4,23,0,12,Python,9221,4,0,1,0,438,0,0,0
secondmind-labs/GPflux,https://github.com/secondmind-labs/GPflux,FALSE,3/22/2021 17:48,[],106,9,18,9,9,Python,193154,23,7,25,9,53,0,0,42
chaovven/PyRL,https://github.com/chaovven/PyRL,FALSE,2/25/2020 10:13,"['pytorch', 'dqn', 'ddpg', 'td3', 'reinforcement-learning', 'deep-reinforcement-learning', 'ppo', 'soft-actor-critic']",30,3,1,0,2,Python,73,2,2,3,0,36,0,0,0
965694547/Hybrid-system-of-frame-wise-model-and-SEDT,https://github.com/965694547/Hybrid-system-of-frame-wise-model-and-SEDT,FALSE,6/21/2022 2:46,[],10,0,1,0,1,Python,3711,0,0,1,0,33,0,0,0
zurutech/zurutech.github.io,https://github.com/zurutech/zurutech.github.io,FALSE,1/24/2018 15:57,"['opensource', 'technology', 'blog']",5,9,17,0,25,SCSS,44830,0,0,6,0,510,0,0,193
rajatvd/WordGenerator,https://github.com/rajatvd/WordGenerator,FALSE,9/13/2018 16:53,[],24,2,2,0,1,Python,31290,0,0,1,0,102,0,0,0
michael-kuhlmann/phoneme_rate_conversion,https://github.com/michael-kuhlmann/phoneme_rate_conversion,FALSE,9/5/2022 13:29,[],7,2,1,0,1,Python,25,0,0,1,0,6,0,0,0
semitable/seac,https://github.com/semitable/seac,FALSE,10/13/2020 11:36,[],7,2,14,0,2,Python,935,2,0,1,0,17,0,0,0
amir-jafari/Deep-Learning,https://github.com/amir-jafari/Deep-Learning,FALSE,10/10/2019 19:13,[],11,1,17,0,1,Python,102665,0,0,1,0,76,0,0,0
nttcslab-sp/dnn_wpe,https://github.com/nttcslab-sp/dnn_wpe,FALSE,6/13/2019 5:18,[],86,5,30,1,1,Python,55,2,0,1,1,21,0,0,0
TTTREE/Trackor_base,https://github.com/TTTREE/Trackor_base,FALSE,9/5/2019 7:50,[],11,1,1,0,1,Jupyter Notebook,5676,8,6,7,0,9,0,0,0
vmasrani/tvo_all_in,https://github.com/vmasrani/tvo_all_in,FALSE,6/29/2020 20:39,[],7,3,2,0,2,Python,61,3,3,4,0,18,0,0,0
ling-pan/RES,https://github.com/ling-pan/RES,FALSE,11/19/2021 7:19,[],15,2,1,0,1,Python,4284,2,0,1,0,4,0,0,0
LuoUndergradXJTU/TwiBot-22,https://github.com/LuoUndergradXJTU/TwiBot-22,FALSE,6/8/2022 5:45,[],53,5,15,0,9,Python,2408,1,0,1,0,113,0,0,0
jzilly/RecurrentHighwayNetworks,https://github.com/jzilly/RecurrentHighwayNetworks,FALSE,10/7/2016 12:05,"['tensorflow', 'torch', 'recurrent-highway-networks', 'penn-treebank']",405,23,69,0,3,Python,2009,3,1,2,0,27,0,0,0
maximilianigl/DVRL,https://github.com/maximilianigl/DVRL,FALSE,9/10/2018 14:51,[],116,7,23,0,2,Jupyter Notebook,184,5,3,5,0,13,0,0,0
ninatu/everything_at_once,https://github.com/ninatu/everything_at_once,FALSE,3/27/2022 15:05,[],40,2,8,0,1,Python,686,2,0,1,0,4,0,0,0
KinWaiCheuk/ReconVAT,https://github.com/KinWaiCheuk/ReconVAT,FALSE,7/6/2021 3:21,"['automatic-music-transcription', 'deep-learning', 'music', 'pytorch', 'semi-supervised-learning']",10,1,0,0,1,Python,7357,2,0,3,0,16,0,0,11
rwindsor1/biobank-self-supervised-alignment,https://github.com/rwindsor1/biobank-self-supervised-alignment,FALSE,3/11/2021 14:11,[],10,2,3,0,1,Jupyter Notebook,17739,0,0,1,0,16,0,0,0
ahendriksen/on_the_fly,https://github.com/ahendriksen/on_the_fly,FALSE,5/10/2019 14:58,[],6,1,0,2,1,Python,9888,0,0,1,2,8,0,0,3
