Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments,,,,,,,,,,,
sailab-code/foveated_neural_computation,https://github.com/sailab-code/foveated_neural_computation,FALSE,6/26/2022 17:30,[],6,1,1,0,2,Jupyter Notebook,26564,0,0,1,0,14,0,0,0,,,,,,,,,,,
papersPapers/BadPrompt,https://github.com/papersPapers/BadPrompt,FALSE,5/16/2022 7:08,[],5,1,0,0,1,Python,592,0,0,1,0,16,0,0,0,,,,,,,,,,,
BlinkDL/RWKV-LM,https://github.com/BlinkDL/RWKV-LM,FALSE,8/8/2021 6:05,"['attention-mechanism', 'deep-learning', 'gpt', 'gpt-2', 'gpt-3', 'language-model', 'linear-attention', 'lstm', 'pytorch', 'rnn', 'transformer', 'transformers', 'rwkv']",699,24,90,3,2,Python,6281,14,7,1,3,293,0,0,0,,,,,,,,,,,
graviraja/MLOps-Basics,https://github.com/graviraja/MLOps-Basics,FALSE,5/2/2021 10:35,[],3234,62,566,0,2,Jupyter Notebook,19615,4,1,16,2,116,0,0,0,,,,,,,,,,,
lizhaoliu-Lec/DAS,https://github.com/lizhaoliu-Lec/DAS,FALSE,7/5/2022 3:36,"['efficient-training', 'feature-augmentation', 'image-retrieval', 'metric-learning', 'pytorch-implementation', 'feature-semantic', 'embedding', 'embedding-space-exploitation']",10,2,0,0,1,Python,28258,0,0,1,0,31,0,0,0,,,,,,,,,,,
TooTouch/SPARTA,https://github.com/TooTouch/SPARTA,FALSE,3/22/2021 7:01,[],17,2,6,0,4,Jupyter Notebook,188740,0,0,1,0,183,0,0,0,,,,,,,,,,,
zenml-io/zenbytes,https://github.com/zenml-io/zenbytes,FALSE,3/2/2022 12:38,"['pipelines', 'machine-learning', 'mlops', 'mlops-workflow']",96,5,20,0,8,Jupyter Notebook,15545,0,0,9,0,114,0,0,0,,,,,,,,,,,
arkilpatel/Compositional-Generalization-Seq2Seq,https://github.com/arkilpatel/Compositional-Generalization-Seq2Seq,FALSE,3/9/2022 14:51,[],8,1,0,0,1,Python,2354,0,0,1,0,10,0,0,0,,,,,,,,,,,
MDrW/ICML2022-IRAT,https://github.com/MDrW/ICML2022-IRAT,FALSE,6/17/2022 12:01,[],10,1,1,0,1,Python,303,1,0,1,0,57,0,0,0,,,,,,,,,,,
jacopotagliabue/you-dont-need-a-bigger-boat,https://github.com/jacopotagliabue/you-dont-need-a-bigger-boat,FALSE,5/26/2021 14:52,[],579,16,53,0,7,Python,652,1,1,15,0,240,0,0,0,,,,,,,,,,,
ajrcampbell/early-exit-ensembles,https://github.com/ajrcampbell/early-exit-ensembles,FALSE,11/13/2021 10:15,[],7,3,2,0,1,Python,16,2,0,2,0,8,0,0,0,,,,,,,,,,,
JCBrouwer/maua-stylegan2,https://github.com/JCBrouwer/maua-stylegan2,FALSE,5/18/2020 15:08,[],157,8,27,0,8,Python,122478,1,0,3,0,180,0,0,0,,,,,,,,,,,
young-geng/SimpleSAC,https://github.com/young-geng/SimpleSAC,FALSE,7/7/2020 13:10,[],14,1,1,0,1,Python,1080,0,0,1,0,18,0,0,0,,,,,,,,,,,
sunny2109/BasicVSR_IconVSR_PyTorch,https://github.com/sunny2109/BasicVSR_IconVSR_PyTorch,FALSE,4/4/2021 7:07,[],56,1,10,0,1,Python,11022,6,0,1,0,34,0,0,0,,,,,,,,,,,
teodorToshkov/ViTGAN-pytorch,https://github.com/teodorToshkov/ViTGAN-pytorch,FALSE,8/18/2021 1:25,[],33,2,8,0,1,Jupyter Notebook,81,3,0,2,0,12,0,0,0,,,,,,,,,,,
microsoft/StyleSwin,https://github.com/microsoft/StyleSwin,FALSE,11/30/2021 3:41,"['computer-vision', 'deep-learning', 'deep-neural-networks', 'pytorch', 'generative-adversarial-network', 'gans', 'image-generation', 'image-synthesis', 'styleswin', 'transformer']",332,9,28,0,4,Python,11829,7,0,1,0,28,0,0,0,,,,,,,,,,,
mu-cai/frequency-domain-image-translation,https://github.com/mu-cai/frequency-domain-image-translation,FALSE,7/25/2021 3:13,[],46,2,5,0,1,Python,38962,0,0,1,0,9,0,0,0,,,,,,,,,,,
BlinkDL/RWKV-v2-RNN-Pile,https://github.com/BlinkDL/RWKV-v2-RNN-Pile,FALSE,4/7/2022 9:54,[],43,3,13,5,3,Python,1557,1,1,2,5,75,0,0,0,,,,,,,,,,,
hlml/fortuitous_forgetting,https://github.com/hlml/fortuitous_forgetting,FALSE,11/24/2021 19:43,[],13,2,4,0,2,Python,82,1,0,1,0,8,0,0,0,,,,,,,,,,,
AlekseyKorshuk/huggingnft,https://github.com/AlekseyKorshuk/huggingnft,FALSE,4/8/2022 17:39,"['gan', 'nft', 'huggan', 'huggingface']",119,5,24,0,2,Jupyter Notebook,13520,2,1,1,0,78,0,0,0,,,,,,,,,,,
kevslinger/DTQN,https://github.com/kevslinger/DTQN,FALSE,6/2/2022 12:32,[],22,1,6,0,1,Python,148,0,0,4,0,4,0,0,0,,,,,,,,,,,
kili-technology/automl,https://github.com/kili-technology/automl,FALSE,1/26/2022 8:07,[],10,1,5,0,7,Python,46687,2,2,25,0,226,4,0,0,,,,,,,,,,,
anoopsanka/retinal_oct,https://github.com/anoopsanka/retinal_oct,FALSE,12/25/2020 17:43,[],27,2,18,0,3,Jupyter Notebook,335514,0,0,3,0,96,0,0,0,,,,,,,,,,,
williamberrios/BrainScore-Transformers,https://github.com/williamberrios/BrainScore-Transformers,FALSE,3/15/2022 23:05,"['paper', 'adversarial-training', 'robustness', 'transformer']",7,2,0,0,1,Python,19261,0,0,2,0,12,0,0,0,,,,,,,,,,,
parasj/contracode,https://github.com/parasj/contracode,FALSE,4/21/2020 0:23,"['deep-learning', 'contrastive-learning', 'momentum-contrast', 'compiler', 'programming-language', 'machine-learning', 'pytorch']",138,9,21,0,3,Jupyter Notebook,10633,1,1,5,0,296,0,0,9,,,,,,,,,,,
learnables/cherry,https://github.com/learnables/cherry,FALSE,11/30/2018 1:46,"['rl', 'reinforcement', 'learning', 'reinforcement-learning', 'pytorch']",180,17,28,2,8,Python,2498,7,4,6,3,412,0,0,65,,,,,,,,,,,
qq909701783/yolov5-keypoints-one_stage-,https://github.com/qq909701783/yolov5-keypoints-one_stage-,FALSE,12/14/2021 1:35,[],22,1,2,0,1,Python,42811,1,0,1,0,14,0,0,0,,,,,,,,,,,
google-research/look-back-when-surprised,https://github.com/google-research/look-back-when-surprised,FALSE,7/1/2022 9:44,"['reinforcement-learning', 'replay-buffer']",5,1,1,0,2,Python,94,0,0,1,0,27,0,0,0,,,,,,,,,,,
RameenAbdal/Labels4Free,https://github.com/RameenAbdal/Labels4Free,FALSE,3/27/2021 11:35,[],64,6,6,0,1,Python,68204,5,0,1,0,41,0,0,33,,,,,,,,,,,
liuzhengzhe/Towards-Implicit-Text-Guided-Shape-Generation,https://github.com/liuzhengzhe/Towards-Implicit-Text-Guided-Shape-Generation,FALSE,3/19/2022 11:40,[],53,5,5,0,1,Python,16870,2,0,1,0,13,0,0,0,,,,,,,,,,,
boreshkinai/smpl-ik,https://github.com/boreshkinai/smpl-ik,FALSE,8/17/2022 18:44,[],47,3,2,0,1,Python,1708,1,0,1,0,60,0,0,0,,,,,,,,,,,
oxcsml/riemannian-score-sde,https://github.com/oxcsml/riemannian-score-sde,FALSE,7/7/2022 15:07,[],14,5,4,0,4,Jupyter Notebook,7936,1,1,1,0,240,0,0,0,,,,,,,,,,,
gaohongkui/TPLinker-NER,https://github.com/gaohongkui/TPLinker-NER,FALSE,5/14/2021 11:51,"['ner', 'pytorch', 'chinese-ner', 'tplinker', 'tplinker-ner']",107,1,15,0,1,Python,2237,3,0,1,0,5,0,0,0,,,,,,,,,,,
prs-eth/ODEcrop,https://github.com/prs-eth/ODEcrop,FALSE,2/13/2020 14:10,"['differential-equations', 'node', 'rnn', 'ode', 'ode-model', 'gru', 'lstm']",14,2,3,0,2,Python,553765,0,0,9,0,260,0,0,0,,,,,,,,,,,
MADSOLSEN/SleepStagePrediction,https://github.com/MADSOLSEN/SleepStagePrediction,FALSE,6/2/2021 4:02,[],5,2,1,0,1,Python,44740,1,0,1,0,52,0,0,0,,,,,,,,,,,
nreimers/flax-sentence-embeddings,https://github.com/nreimers/flax-sentence-embeddings,FALSE,7/1/2021 9:14,[],20,3,19,0,10,Python,113,2,2,2,0,73,0,0,0,,,,,,,,,,,
elephantmipt/compressors,https://github.com/elephantmipt/compressors,FALSE,2/27/2021 20:02,"['knowledge-distillation', 'transformers', 'resnet', 'pruning', 'quantization', 'compressors']",22,2,3,0,1,Python,1761,0,0,2,0,162,0,0,57,,,,,,,,,,,
forever208/yolov5_train_on_UAVDT,https://github.com/forever208/yolov5_train_on_UAVDT,FALSE,9/10/2021 15:00,[],8,1,1,1,1,Python,1219,1,0,1,1,19,0,0,0,,,,,,,,,,,
eric-ai-lab/FedVLN,https://github.com/eric-ai-lab/FedVLN,FALSE,7/17/2022 18:29,[],6,2,0,0,1,C++,7329,0,0,2,0,16,0,0,0,,,,,,,,,,,
yamizi/Adversarial-Embedding,https://github.com/yamizi/Adversarial-Embedding,FALSE,11/1/2019 18:00,[],17,2,2,0,1,Python,78226,15,13,17,0,20,0,0,0,,,,,,,,,,,
rizwan09/REDCODER,https://github.com/rizwan09/REDCODER,FALSE,9/5/2021 15:16,[],15,3,3,0,1,Python,13448,1,0,1,0,53,0,0,0,,,,,,,,,,,
TommyZihao/Train_Custom_Dataset,https://github.com/TommyZihao/Train_Custom_Dataset,FALSE,7/23/2022 6:44,[],302,3,75,0,1,Jupyter Notebook,185900,0,0,1,0,213,0,0,0,,,,,,,,,,,
moritzschaefer/kickercam,https://github.com/moritzschaefer/kickercam,FALSE,10/5/2017 21:48,[],11,6,1,0,2,Jupyter Notebook,2662,0,0,5,0,98,0,0,0,,,,,,,,,,,
daniellibin/gaiic2021_track3_querySim,https://github.com/daniellibin/gaiic2021_track3_querySim,FALSE,6/19/2021 9:32,[],100,2,47,0,1,Python,9832,2,0,1,0,1,0,0,0,,,,,,,,,,,
williamyang1991/DualStyleGAN,https://github.com/williamyang1991/DualStyleGAN,FALSE,3/13/2022 5:47,"['style-transfer', 'face', 'stylegan2', 'stylegan-image-manipulation', 'toonify', 'caricatures', 'cvpr2022']",1161,23,186,0,3,Jupyter Notebook,26894,8,1,1,0,188,0,0,0,,,,,,,,,,,
Wangpeiyi9979/HCL-Text2AMR,https://github.com/Wangpeiyi9979/HCL-Text2AMR,FALSE,3/9/2022 14:01,"['abstract-meaning-representation', 'curriculum-learning', 'semantic-parsing']",10,1,0,0,1,Python,1221,0,0,1,0,27,0,0,0,,,,,,,,,,,
iliasprc/MMAViT,https://github.com/iliasprc/MMAViT,FALSE,2/14/2022 8:55,[],7,1,1,0,1,Python,680,1,0,1,0,11,0,0,0,,,,,,,,,,,
wgcban/ddpm-cd,https://github.com/wgcban/ddpm-cd,FALSE,4/20/2022 15:27,"['change-detection', 'climate-change', 'diffusion-models', 'remote-sensing', 'segmentation']",80,3,9,0,5,Python,19849,0,0,6,0,256,0,0,0,,,,,,,,,,,
TomFrederik/grokking,https://github.com/TomFrederik/grokking,FALSE,12/2/2021 21:25,[],38,2,0,0,1,Python,61328,0,0,1,0,25,0,0,0,,,,,,,,,,,
ArvinZhuang/DSI-transformers,https://github.com/ArvinZhuang/DSI-transformers,FALSE,3/19/2022 7:41,[],45,2,3,0,1,Python,78,1,0,1,0,8,0,0,0,,,,,,,,,,,
ygjwd12345/VISTA-Net,https://github.com/ygjwd12345/VISTA-Net,FALSE,2/15/2021 9:36,[],14,2,4,0,1,Python,2765,0,0,1,0,12,0,0,0,,,,,,,,,,,
e-bug/volta,https://github.com/e-bug/volta,FALSE,11/30/2020 21:39,[],100,4,23,0,1,Python,95789,2,0,1,0,42,0,0,0,,,,,,,,,,,
huynhbaobk/tensorrt-triton-yolov5,https://github.com/huynhbaobk/tensorrt-triton-yolov5,FALSE,11/16/2021 4:12,[],36,1,7,0,1,C++,3389,3,0,2,0,13,0,0,0,,,,,,,,,,,
chaofengc/IQA-PyTorch,https://github.com/chaofengc/IQA-PyTorch,FALSE,11/28/2021 13:30,"['iqa', 'image-quality-assessment', 'blind-image-quality-assessment', 'pytorch', 'python3', 'pytorch-implementation']",335,6,39,8,4,Python,25103,0,0,4,9,241,0,0,0,,,,,,,,,,,
davidfrz/yolov5_distance_count,https://github.com/davidfrz/yolov5_distance_count,FALSE,7/10/2021 3:41,[],251,1,51,0,1,Jupyter Notebook,23933,5,0,2,0,7,0,0,0,,,,,,,,,,,
soumik12345/point-cloud-segmentation,https://github.com/soumik12345/point-cloud-segmentation,FALSE,9/30/2021 14:38,"['point-cloud', 'segmentation', 'tensorflow2', 'keras', 'tpu', 'deep-learning']",31,2,8,3,2,Python,5017,1,0,1,3,173,0,0,0,,,,,,,,,,,
mim-solutions/deep-learning-template,https://github.com/mim-solutions/deep-learning-template,FALSE,10/29/2021 9:31,[],7,3,2,0,2,Jupyter Notebook,6006,0,0,1,0,28,0,0,0,,,,,,,,,,,
wzzheng/DCML,https://github.com/wzzheng/DCML,FALSE,3/29/2021 7:11,[],16,1,3,0,2,Python,516,2,0,1,0,27,0,0,0,,,,,,,,,,,
frmetz/QMPS,https://github.com/frmetz/QMPS,FALSE,2/1/2022 10:58,[],7,3,0,0,1,Python,4962,0,0,1,0,12,0,0,0,,,,,,,,,,,
google-research/google-research,https://github.com/google-research/google-research,FALSE,10/4/2018 18:42,"['machine-learning', 'ai', 'research']",25671,714,6322,0,397,Jupyter Notebook,367866,819,197,80,0,3574,14,0,0,,,,,,,,,,,
okunator/Dippa,https://github.com/okunator/Dippa,FALSE,7/9/2020 15:58,[],8,2,0,0,1,Jupyter Notebook,931026,2,1,3,1,276,0,0,0,,,,,,,,,,,
sdat2/seager19,https://github.com/sdat2/seager19,FALSE,11/2/2020 22:10,"['nature-climate-change', 'pacific', 'ocean-model', 'atmosphere-model', 'coupled-model', 'tropics', 'ocean-sciences', 'climate-change-impacts']",5,2,0,1,2,Jupyter Notebook,224286,6,2,13,1,1011,1,0,0,,,,,,,,,,,
RobertCsordas/linear_layer_as_attention,https://github.com/RobertCsordas/linear_layer_as_attention,FALSE,2/10/2022 13:49,[],9,2,0,0,1,Python,73,1,0,1,0,3,0,0,0,,,,,,,,,,,
JeremySun1224/CCFBDCI2020,https://github.com/JeremySun1224/CCFBDCI2020,FALSE,12/7/2020 14:14,[],32,2,10,0,1,Python,62975,1,0,1,0,24,0,0,0,,,,,,,,,,,
szhang42/alignment_attention,https://github.com/szhang42/alignment_attention,FALSE,10/19/2021 5:26,[],5,2,0,0,1,Python,2978,0,0,1,0,3,0,0,0,,,,,,,,,,,
PacktPublishing/Production-Ready-Applied-Deep-Learning,https://github.com/PacktPublishing/Production-Ready-Applied-Deep-Learning,FALSE,12/8/2021 5:45,[],54,3,10,0,6,Jupyter Notebook,42525,0,0,12,0,364,0,0,0,,,,,,,,,,,
vrodriguezf/deepvats,https://github.com/vrodriguezf/deepvats,FALSE,1/23/2021 17:36,[],6,4,0,0,3,Jupyter Notebook,55838,18,2,6,0,163,0,0,0,,,,,,,,,,,
roma-glushko/rock-paper-scissors,https://github.com/roma-glushko/rock-paper-scissors,FALSE,1/30/2021 21:26,"['computer-vision', 'rock-paper-scissors', 'tensorflow', 'mobilenetv2', 'machine-learning']",5,1,0,0,1,Jupyter Notebook,8267,0,0,1,1,31,0,0,0,,,,,,,,,,,
gsarti/lambda-bert,https://github.com/gsarti/lambda-bert,FALSE,10/19/2020 16:49,[],69,3,4,0,1,Python,216,0,0,1,0,5,0,0,0,,,,,,,,,,,
shtoshni/fast-coref,https://github.com/shtoshni/fast-coref,FALSE,4/3/2021 15:28,[],19,2,10,0,2,Jupyter Notebook,475,0,0,4,0,241,0,0,0,,,,,,,,,,,
ServiceNow/picard,https://github.com/ServiceNow/picard,FALSE,8/31/2021 16:57,[],196,7,70,0,5,Haskell,506,13,2,3,0,134,0,0,0,,,,,,,,,,,
GHigher12/Pyqt5_yolov5_unet_centernet,https://github.com/GHigher12/Pyqt5_yolov5_unet_centernet,FALSE,8/22/2022 13:22,[],20,1,6,0,1,Python,5175,0,0,1,0,2,0,0,0,,,,,,,,,,,
CLARIN-PL/embeddings,https://github.com/CLARIN-PL/embeddings,FALSE,3/11/2021 18:00,"['languagemodel', 'nlp', 'nlp-machine-learning', 'fine-tuning', 'classification', 'sequence-tagging', 'benchmark', 'lm']",27,7,1,1,12,Python,7628,56,5,44,2,118,0,0,638,,,,,,,,,,,
Virtsionis/torch-nilm,https://github.com/Virtsionis/torch-nilm,FALSE,4/5/2021 17:10,[],12,1,4,0,2,Python,26845,5,0,9,0,206,1,0,0,,,,,,,,,,,
technion-cs-nlp/bias-probing,https://github.com/technion-cs-nlp/bias-probing,FALSE,5/30/2021 7:23,[],12,1,1,0,1,Python,69,0,0,2,0,5,0,0,0,,,,,,,,,,,
come880412/Scene-Text-Detection-and-Recognition,https://github.com/come880412/Scene-Text-Detection-and-Recognition,FALSE,12/20/2021 9:46,[],7,1,3,0,1,Python,17840,0,0,1,0,35,0,0,0,,,,,,,,,,,
salesforce/FactLM,https://github.com/salesforce/FactLM,FALSE,9/3/2021 15:46,[],7,4,4,0,1,Python,97481,0,0,1,0,6,0,0,0,,,,,,,,,,,
ebagdasa/propaganda_as_a_service,https://github.com/ebagdasa/propaganda_as_a_service,FALSE,12/9/2020 20:54,"['language-models', 'propaganda']",15,2,1,0,420,Python,80181,0,0,8,0,9144,0,0,0,,,,,,,,,,,
sholtodouglas/learning_from_play,https://github.com/sholtodouglas/learning_from_play,FALSE,6/17/2020 14:28,[],63,6,5,0,2,Jupyter Notebook,162200,5,1,9,0,719,0,0,0,,,,,,,,,,,
jihoonerd/Conditional-Motion-In-Betweening,https://github.com/jihoonerd/Conditional-Motion-In-Betweening,FALSE,5/10/2021 9:10,"['motion', 'motion-generation', 'in-betweening']",73,6,4,3,3,Python,19313,0,0,2,3,340,0,0,28,,,,,,,,,,,
vis-nlp/ChartQA,https://github.com/vis-nlp/ChartQA,FALSE,3/7/2022 15:16,[],15,4,0,0,2,Python,830779,2,0,1,0,47,0,0,0,,,,,,,,,,,
TsinghuaDatabaseGroup/AI4DBCode,https://github.com/TsinghuaDatabaseGroup/AI4DBCode,FALSE,10/24/2019 0:03,[],38,5,29,0,3,Scala,186101,22,22,23,0,10,0,0,0,,,,,,,,,,,
janclemenslab/das,https://github.com/janclemenslab/das,FALSE,9/26/2019 19:11,[],13,4,7,2,2,Python,78115,5,0,2,3,764,0,0,107,,,,,,,,,,,
THUDM/cogdl,https://github.com/THUDM/cogdl,FALSE,3/18/2019 15:29,"['graph-neural-networks', 'pytorch', 'graph-embedding', 'node-classification', 'graph-classification', 'link-prediction', 'leaderboard', 'gnn-model']",1294,37,286,13,38,Python,9583,29,14,6,13,476,1,0,0,,,,,,,,,,,
Pseudo-Lab/klue-baseline,https://github.com/Pseudo-Lab/klue-baseline,FALSE,7/19/2021 8:50,"['nlp', 'deep-learning']",5,3,4,0,4,Jupyter Notebook,5436,0,0,3,0,35,0,0,38,,,,,,,,,,,
tomhosking/torchseq,https://github.com/tomhosking/torchseq,FALSE,10/17/2018 17:32,[],23,3,4,8,2,Python,1654,8,0,2,8,389,0,0,0,,,,,,,,,,,
tmabraham/UPIT,https://github.com/tmabraham/UPIT,FALSE,8/17/2020 6:03,"['pytorch', 'cyclegan', 'image-to-image-translation', 'fastai', 'nbdev', 'deep-learning']",118,3,19,3,3,Jupyter Notebook,250852,5,0,5,3,170,0,0,98,,,,,,,,,,,
UKPLab/StructAdapt,https://github.com/UKPLab/StructAdapt,FALSE,9/2/2021 9:42,[],18,14,5,0,1,Python,1211,3,0,1,0,15,0,0,0,,,,,,,,,,,
ufal/augpt,https://github.com/ufal/augpt,FALSE,10/30/2020 22:31,[],17,6,4,0,2,Python,148,3,0,1,0,19,0,0,0,,,,,,,,,,,
rapidrabbit76/PaintsTensorFlow,https://github.com/rapidrabbit76/PaintsTensorFlow,FALSE,12/18/2018 17:04,"['machine-learning', 'tensorflow', 'gans', 'paintschainer', 'colorization', 'waifu2x']",50,5,6,0,2,Jupyter Notebook,17367,1,0,2,1,88,0,0,18,,,,,,,,,,,
lseventeen/PHTrans,https://github.com/lseventeen/PHTrans,FALSE,2/27/2022 12:11,[],10,1,1,0,1,Python,932,2,0,2,0,23,0,0,0,,,,,,,,,,,
clvrai/idapt,https://github.com/clvrai/idapt,FALSE,7/1/2021 8:24,[],9,5,1,0,2,Python,54611,0,0,1,0,4,0,0,3,,,,,,,,,,,
amazon-research/replay-based-recurrent-rl,https://github.com/amazon-science/replay-based-recurrent-rl,FALSE,6/29/2022 8:18,"['meta-learning', 'multi-task-learning', 'reinforcement-learning']",11,1,3,0,4,Python,100846,0,0,1,0,10,0,0,0,,,,,,,,,,,
CogNLP/CogKTR,https://github.com/CogNLP/CogKTR,FALSE,3/17/2022 7:26,"['knowledge', 'nlu', 'text', 'pytorch']",15,1,5,0,4,Python,4889,0,0,1,0,591,0,0,0,,,,,,,,,,,
lindsey98/PhishIntention,https://github.com/lindsey98/PhishIntention,FALSE,3/12/2021 5:22,"['phishing-detection', 'phishing-identification', 'deep-learning-object-detection', 'deep-learning-classification', 'dynamic-web-interaction']",13,3,9,0,3,Python,40335,1,0,1,1,374,0,0,0,,,,,,,,,,,
QData/TextAttack,https://github.com/QData/TextAttack,FALSE,10/15/2019 0:51,"['machine-learning', 'security', 'natural-language-processing', 'nlp', 'adversarial-machine-learning', 'adversarial-attacks', 'data-augmentation', 'adversarial-examples']",2116,29,277,13,45,Python,32366,26,5,10,16,2561,14,0,0,,,,,,,,,,,
joaanna/disentangling_spelling_in_clip,https://github.com/joaanna/disentangling_spelling_in_clip,FALSE,4/1/2022 20:24,[],20,3,0,0,1,Python,39227,0,0,1,0,11,0,0,8,,,,,,,,,,,
coder-wangzhen/AIC22-MCVT,https://github.com/coder-wangzhen/AIC22-MCVT,FALSE,4/29/2022 2:17,[],9,1,3,0,1,C++,23361,3,0,1,0,4,0,0,0,,,,,,,,,,,
cjf8899/Tiny_ImageNet_Challenge,https://github.com/cjf8899/Tiny_ImageNet_Challenge,FALSE,11/9/2020 8:17,"['tiny-imagenet200', 'se-resnext']",6,2,1,0,1,Python,25,0,0,1,0,9,0,0,0,,,,,,,,,,,
wyu97/permgen,https://github.com/wyu97/permgen,FALSE,4/17/2021 3:29,['natural-language-generation'],35,2,5,0,1,Python,70501,0,0,1,0,16,0,0,0,,,,,,,,,,,
HLTCHKUST/cantonese-asr,https://github.com/HLTCHKUST/cantonese-asr,FALSE,9/21/2021 3:18,[],32,5,6,0,253,Python,21459,1,0,2,14,2036,0,0,0,,,,,,,,,,,
CompVis/interactive-image2video-synthesis,https://github.com/CompVis/interactive-image2video-synthesis,FALSE,3/29/2021 10:49,[],28,6,5,0,1,Python,65361,0,0,2,0,28,0,0,11,,,,,,,,,,,
SAP-samples/acl2022-self-contrastive-decorrelation,https://github.com/SAP-samples/acl2022-self-contrastive-decorrelation,FALSE,3/1/2022 17:32,"['sample', 'research', 'research-paper', 'ai', 'nlp', 'sentence-embeddings', 'self-supervised-learning', 'self-contrastive', 'self-contrastive-decorrelation']",11,7,4,0,2,Python,256,3,0,1,0,51,0,0,0,,,,,,,,,,,
cahya-wirawan/indonesian-speech-recognition,https://github.com/cahya-wirawan/indonesian-speech-recognition,FALSE,3/18/2021 9:59,[],11,1,3,0,1,Jupyter Notebook,3204,1,0,1,0,40,0,0,0,,,,,,,,,,,
yoonseok312/GRAM,https://github.com/yoonseok312/GRAM,FALSE,11/16/2021 3:10,['pytorch'],7,1,0,0,1,Python,88,0,0,1,0,17,0,0,0,,,,,,,,,,,
ASzot/rl-toolkit,https://github.com/ASzot/rl-toolkit,FALSE,6/18/2020 1:32,[],7,2,3,0,1,Python,9912,0,0,1,0,324,0,0,0,,,,,,,,,,,
kai-wen-yang/CD-VAE,https://github.com/kai-wen-yang/CD-VAE,FALSE,11/17/2021 5:50,[],29,2,6,0,1,Python,1391,0,0,1,0,48,0,0,0,,,,,,,,,,,
Splinter0/CoughCNN,https://github.com/Splinter0/CoughCNN,FALSE,5/4/2020 20:51,[],10,5,7,0,1,Jupyter Notebook,450,1,0,1,0,22,0,0,0,,,,,,,,,,,
