Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments,
vdabravolski/detectron2-sagemaker,https://github.com/vdabravolski/detectron2-sagemaker,FALSE,3/30/2020 20:00,[],16,3,4,0,3,Jupyter Notebook,162363,1,0,4,0,138,0,0,0,
awslabs/mlmax,https://github.com/awslabs/mlmax,FALSE,11/17/2020 0:17,"['machine-learning', 'training', 'inference']",57,6,18,2,11,Jupyter Notebook,5357,0,0,13,2,554,0,0,0,
dylan-tong-aws/aws-cv-jumpstarter,https://github.com/dylan-tong-aws/aws-cv-jumpstarter,FALSE,5/8/2019 19:06,[],10,1,4,0,1,Jupyter Notebook,128038,1,1,2,0,65,0,0,0,
jacopotagliabue/you-dont-need-a-bigger-boat,https://github.com/jacopotagliabue/you-dont-need-a-bigger-boat,FALSE,5/26/2021 14:52,[],579,16,53,0,7,Python,652,1,1,15,0,240,0,0,0,
daekeun-ml/sm-huggingface-kornlp,https://github.com/daekeun-ml/sm-huggingface-kornlp,FALSE,12/21/2021 12:38,[],12,1,9,0,1,Jupyter Notebook,684,1,1,1,0,6,0,0,0,
IBM/mlapp,https://github.com/IBM/mlapp,FALSE,2/26/2021 10:11,"['python', 'machine-learning', 'artificial-intelligence', 'ml', 'ai']",39,10,9,6,7,Python,14540,10,2,5,7,58,0,0,0,
OElesin/sagemaker-autopilot-step-functions,https://github.com/OElesin/sagemaker-autopilot-step-functions,FALSE,5/23/2020 11:43,[],9,2,3,0,2,Python,196,2,1,2,0,36,0,0,0,
ArenCarpenter/Detecting_ALL_with_CNN,https://github.com/ArenCarpenter/Detecting_ALL_with_CNN,FALSE,9/14/2020 19:45,"['acute-lymphoblastic-leukemia', 'oncology', 'machine-learning', 'sagemaker', 'healthcare', 'convolutional-neural-networks', 'blood-microscopy', 'microscopy']",11,1,3,0,1,Jupyter Notebook,3108,1,0,1,0,85,0,0,0,
awslabs/predictive-maintenance-using-machine-learning,https://github.com/awslabs/predictive-maintenance-using-machine-learning,FALSE,6/20/2019 21:12,[],77,15,50,0,4,Python,26944,4,1,2,0,20,0,0,0,
aws-samples/amazon-redshift-ml-getting-started,https://github.com/aws-samples/amazon-redshift-ml-getting-started,FALSE,8/19/2021 16:39,[],12,4,11,0,7,Jupyter Notebook,1528,0,0,1,0,10,0,0,0,
aws/sagemaker-experiments,https://github.com/aws/sagemaker-experiments,FALSE,10/14/2019 18:43,[],98,37,29,39,11,Python,488,15,0,1,39,138,0,0,0,
jonaylor89/WineInAMillion,https://github.com/jonaylor89/WineInAMillion,FALSE,10/19/2019 6:45,"['bert', 'python', 'nlp', 'jupyter-notebook', 'sagemaker', 'sklearn', 'pytorch', 'sentence-bert', 'sentence-embeddings']",8,0,1,0,2,Jupyter Notebook,742,7,7,8,0,47,0,0,0,
aws-samples/sagemaker-distributed-training-pytorch-kr,https://github.com/aws-samples/sagemaker-distributed-training-pytorch-kr,FALSE,2/15/2021 0:37,[],7,10,3,0,2,Jupyter Notebook,9038,0,0,1,0,19,0,0,0,
huggingface/notebooks,https://github.com/huggingface/notebooks,FALSE,6/15/2020 13:55,[],1238,42,661,0,43,Jupyter Notebook,173327,83,27,34,0,453,1,0,0,
aws-samples/amazon-appflow,https://github.com/aws-samples/amazon-appflow,FALSE,9/1/2020 23:38,[],17,5,13,0,3,Jupyter Notebook,13990,3,0,1,0,31,0,0,0,
aws-samples/aws-sar-sagemaker-image-classification,https://github.com/aws-samples/aws-sar-sagemaker-image-classification,FALSE,1/14/2020 9:18,[],8,7,6,0,2,Jupyter Notebook,573,0,0,1,0,5,0,0,0,
awslabs/gluonts,https://github.com/awslabs/gluonts,FALSE,5/15/2019 17:17,"['time-series', 'deep-learning', 'forecasting', 'neural-networks', 'machine-learning', 'time-series-prediction', 'time-series-forecasting', 'mxnet', 'pytorch', 'aws', 'sagemaker', 'timeseries', 'artificial-intelligence', 'data-science']",3089,70,633,60,89,Python,12228,324,89,12,62,1081,8,0,0,
radix-ai/sagemaker-tensorflow-tutorial,https://github.com/radix-ai/sagemaker-tensorflow-tutorial,FALSE,8/24/2018 13:02,[],12,2,1,0,1,Jupyter Notebook,98,0,0,1,0,1,0,0,0,
shiftan/simple_sagemaker,https://github.com/shiftan/simple_sagemaker,FALSE,8/31/2020 14:47,[],15,2,3,0,1,Python,987,2,1,2,0,210,0,0,0,
dansbecker/weather-analytics,https://github.com/dansbecker/weather-analytics,FALSE,12/16/2020 18:05,[],17,1,9,0,1,Jupyter Notebook,42575,0,0,1,0,20,0,0,0,
smileinnovation/visual-search-yolov5-sagemaker,https://github.com/smileinnovation/visual-search-yolov5-sagemaker,FALSE,10/7/2021 8:56,[],5,3,2,0,1,Jupyter Notebook,18,2,0,1,0,3,0,0,0,
mahendrabairagi/reInventWorkshop1,https://github.com/mahendrabairagi/reInventWorkshop1,FALSE,11/9/2018 21:25,[],10,3,16,0,5,Python,29223,1,1,1,0,314,1,0,0,
aws-samples/quicksight-sagemaker-integration-blog,https://github.com/aws-samples/quicksight-sagemaker-integration-blog,FALSE,4/29/2020 21:30,[],6,3,6,0,2,Jupyter Notebook,55,3,0,2,0,14,0,0,0,
awslabs/sagemaker-defect-detection,https://github.com/awslabs/sagemaker-defect-detection,FALSE,8/18/2020 21:53,"['deep-learning', 'computer-vision', 'sagemaker', 'sagemaker-pytorch', 'sagemaker-deployment', 'defect-detection', 'quality-control']",28,8,17,1,4,Python,6363,0,0,2,1,58,0,0,37,
FraPochetti/KagglePlaygrounds,https://github.com/FraPochetti/KagglePlaygrounds,FALSE,8/21/2018 13:32,[],27,2,14,0,3,Jupyter Notebook,198185,1,0,1,0,153,0,0,0,
amazon-research/sccl,https://github.com/amazon-science/sccl,FALSE,5/28/2021 18:17,[],217,4,38,0,1,Python,51,9,0,1,0,11,0,0,0,
PacktPublishing/Hands-On-Artificial-Intelligence-on-Amazon-Web-Services,https://github.com/PacktPublishing/Hands-On-Artificial-Intelligence-on-Amazon-Web-Services,FALSE,5/20/2019 8:32,[],17,8,21,0,5,Jupyter Notebook,140992,0,0,1,0,17,0,0,0,
KnowledgeMavens/Science-Tech,https://github.com/KnowledgeMavens/Science-Tech,FALSE,2/3/2018 5:00,"['data', 'science', 'technology', 'astronomy']",5,6,2,0,3,Python,384749,0,0,1,0,238,0,0,0,
mattmcclean/sagemaker-reinvent-chalktalk-2018,https://github.com/mattmcclean/sagemaker-reinvent-chalktalk-2018,FALSE,8/27/2018 20:57,[],12,2,4,0,2,Jupyter Notebook,4160,4,1,1,1,84,0,0,0,
cyyeh/ml-engineering-ndegree,https://github.com/cyyeh/ml-engineering-ndegree,FALSE,4/4/2020 14:52,[],14,3,12,0,1,Jupyter Notebook,195540,24,24,25,0,112,0,0,0,
andreluiz365/chip-wafer-classification-deep-learning,https://github.com/andreluiz365/chip-wafer-classification-deep-learning,FALSE,6/12/2019 18:52,[],7,0,8,0,2,Jupyter Notebook,794,0,0,1,0,7,0,0,0,
PacktPublishing/Production-Ready-Applied-Deep-Learning,https://github.com/PacktPublishing/Production-Ready-Applied-Deep-Learning,FALSE,12/8/2021 5:45,[],54,3,10,0,6,Jupyter Notebook,42525,0,0,12,0,364,0,0,0,
aws/graph-notebook,https://github.com/aws/graph-notebook,FALSE,10/1/2020 23:22,"['graph', 'gremlin', 'jupyter', 'jupyter-widgets', 'sparql', 'neptune', 'opencypher', 'cypher', 'rdf', 'apache', 'tinkerpop', 'jupyter-notebook']",483,34,108,32,21,Jupyter Notebook,19521,40,7,18,32,294,0,0,0,
HKUNLP/icl-selective-annotation,https://github.com/HKUNLP/icl-selective-annotation,FALSE,9/4/2022 3:57,"['active-learning', 'language-model', 'nlp', 'sample-selection', 'in-context-learning', 'natural-language-processing']",44,7,7,0,3,Python,34027,0,0,1,0,10,0,0,0,
jackie930/t5-pegasus-textsummary,https://github.com/jackie930/t5-pegasus-textsummary,FALSE,4/23/2021 3:10,[],18,2,6,0,4,Python,356,0,0,1,0,15,0,0,0,
mahendrabairagi/AWS_ML_At_Edge_With_NVIDIA_Jetson_Nano,https://github.com/mahendrabairagi/AWS_ML_At_Edge_With_NVIDIA_Jetson_Nano,FALSE,7/14/2019 18:10,[],44,3,23,0,2,Jupyter Notebook,2948,4,0,1,0,27,0,0,0,
aws-samples/amazon-sagemaker-edge-manager-workshop,https://github.com/aws-samples/amazon-sagemaker-edge-manager-workshop,FALSE,3/22/2021 11:08,[],29,22,11,0,5,Jupyter Notebook,16756,3,1,1,0,54,0,0,0,
aws/aws-step-functions-data-science-sdk-python,https://github.com/aws/aws-step-functions-data-science-sdk-python,FALSE,9/18/2019 20:33,"['aws', 'machine-learning', 'python', 'stepfunctions']",236,19,76,9,21,Python,38744,47,6,7,14,154,0,0,0,
youssefHosni/Data-Science-Portofolio,https://github.com/youssefHosni/Data-Science-Portofolio,FALSE,9/29/2021 15:12,[],40,3,7,0,1,Jupyter Notebook,15406,0,0,1,0,207,0,0,0,
mindsdb/mindsdb-docs,https://github.com/mindsdb/mindsdb-docs,FALSE,4/30/2020 9:29,"['mindsdb', 'lightwood', 'documentation', 'mkdocs', 'mkdocs-material', 'hacktoberfest']",18,5,34,0,35,HTML,62301,17,2,5,0,515,0,0,152,
markproy/personalize-car-search,https://github.com/markproy/personalize-car-search,FALSE,7/11/2019 23:28,[],13,4,2,0,1,Jupyter Notebook,391,1,0,1,0,19,0,0,0,
mattmcclean/sagemaker-fastai-examples,https://github.com/mattmcclean/sagemaker-fastai-examples,FALSE,2/20/2019 17:16,[],6,1,2,0,1,Jupyter Notebook,15,1,0,1,0,5,0,0,0,
ebagdasa/propaganda_as_a_service,https://github.com/ebagdasa/propaganda_as_a_service,FALSE,12/9/2020 20:54,"['language-models', 'propaganda']",15,2,1,0,420,Python,80181,0,0,8,0,9144,0,0,0,
harusametime/sagemaker-notebooks,https://github.com/harusametime/sagemaker-notebooks,FALSE,9/11/2018 6:36,"['python', 'jupyter-notebook']",35,5,8,0,2,Jupyter Notebook,3929,0,0,1,0,148,0,0,10,
nwcd-samples/NWCD-Industry-Customized-OCR-Solution,https://github.com/nwcd-samples/NWCD-Industry-Customized-OCR-Solution,FALSE,8/7/2020 2:02,[],17,8,3,0,1,Python,1796,1,0,1,0,11,0,0,0,
sojiadeshina/deep-learning-gluon-seattle,https://github.com/sojiadeshina/deep-learning-gluon-seattle,FALSE,5/22/2019 17:25,[],5,2,3,0,1,Jupyter Notebook,50245,0,0,1,0,31,0,0,0,
C24IO/SageMaker-Inf1-Endpoints,https://github.com/C24IO/SageMaker-Inf1-Endpoints,FALSE,8/1/2020 4:49,[],5,2,5,0,1,Jupyter Notebook,1258,0,0,1,0,14,0,0,0,
databand-ai/dbnd,https://github.com/databand-ai/dbnd,FALSE,1/2/2020 10:42,[],235,19,26,0,24,Python,9543,0,0,63,0,3178,1,0,0,
STAR-RG/shipwright,https://github.com/STAR-RG/shipwright,FALSE,1/12/2021 19:21,"['docker', 'automated-repair', 'devops', 'icse2021', 'artifacts-repository']",15,6,3,2,3,Dockerfile,589975,0,0,1,2,33,0,0,0,
aws-samples/amazon-sagemaker-monai-examples,https://github.com/aws-samples/amazon-sagemaker-monai-examples,FALSE,11/10/2020 22:11,[],14,4,8,0,3,Jupyter Notebook,237,0,0,1,0,27,0,0,0,
HerringForks/SMDDP-Examples,https://github.com/HerringForks/SMDDP-Examples,FALSE,8/10/2021 20:21,[],6,7,9,0,19,Python,3825,2,2,2,0,78,0,0,0,
hunkim/sagemaker-aihub,https://github.com/hunkim/sagemaker-aihub,FALSE,6/9/2020 1:11,[],6,3,3,0,1,Jupyter Notebook,916,2,1,2,0,21,0,0,0,
aws-samples/amazon-custom-entity-recognition-textract-comprehend,https://github.com/aws-samples/amazon-custom-entity-recognition-textract-comprehend,FALSE,7/6/2020 17:28,[],10,5,25,0,3,Jupyter Notebook,997,1,0,1,0,15,0,0,0,
PacktPublishing/Serverless-Analytics-with-Amazon-Athena,https://github.com/PacktPublishing/Serverless-Analytics-with-Amazon-Athena,FALSE,11/3/2020 13:46,[],14,7,7,0,6,Jupyter Notebook,61861,0,0,1,0,95,0,0,0,
aws/deep-learning-containers,https://github.com/aws/deep-learning-containers,FALSE,1/17/2020 20:52,"['aws', 'sagemaker', 'docker', 'tensorflow', 'tensorflow2', 'mxnet', 'pytorch']",534,38,307,593,98,Python,101634,245,149,67,642,1619,3,0,0,
YeonwooSung/ai_book,https://github.com/YeonwooSung/ai_book,FALSE,6/27/2020 15:46,"['xai', 'ai-ml', 'machine-learning', 'deep-learning', 'tutorial', 'cv', 'nlp', 'machinelearning', 'ai', 'knowledge-distillation', 'pytorch']",8,1,1,0,2,Jupyter Notebook,167451,11,0,1,0,352,0,0,0,
RunzheStat/D2OPE,https://github.com/RunzheStat/D2OPE,FALSE,5/10/2021 18:31,[],9,2,3,0,2,Python,5246,0,0,1,0,22,0,0,0,
RosePasta/Denchmark_BRs,https://github.com/RosePasta/Denchmark_BRs,FALSE,1/11/2021 9:26,[],6,2,12,0,1,Jupyter Notebook,85145,0,0,1,0,21,0,0,0,
aws-samples/streamlit-application-deployment-on-aws,https://github.com/aws-samples/streamlit-application-deployment-on-aws,FALSE,4/10/2021 23:38,"['streamlit-dashboard', 'aws', 'aws-cloudformation', 'aws-glue', 'aws-athena', 'aws-cognito', 'aws-sagemaker']",33,7,14,0,3,Python,4193,2,1,2,1,54,0,0,0,
infoshareacademy/AWSMasters,https://github.com/infoshareacademy/AWSMasters,FALSE,6/14/2021 10:01,[],8,5,7,0,3,Jupyter Notebook,112,3,0,1,0,107,0,0,0,
cognitiveailab/darmok,https://github.com/cognitiveailab/darmok,FALSE,7/14/2021 15:55,[],11,1,1,0,1,Python,15185,1,1,1,0,29,0,0,0,
grantgasser/plagiarism-detection-nlp,https://github.com/grantgasser/plagiarism-detection-nlp,FALSE,7/16/2019 3:28,"['plagiarism', 'plagiarism-detector', 'sagemaker', 'containment', 'feature-engineering']",11,2,7,0,1,Jupyter Notebook,150,0,0,1,0,13,0,0,0,
Hironsan/wiki-article-dataset,https://github.com/Hironsan/wiki-article-dataset,FALSE,5/6/2019 10:12,"['machine-learning', 'natural-language-processing', 'dataset']",10,2,1,0,1,Jupyter Notebook,54,0,0,1,0,7,0,0,0,
aws-samples/aws-ml-jp,https://github.com/aws-samples/aws-ml-jp,FALSE,7/15/2021 16:59,[],23,9,15,0,9,Jupyter Notebook,72587,1,0,1,0,66,0,0,0,
aws-samples/amazon-sagemaker-bert-pytorch,https://github.com/aws-samples/amazon-sagemaker-bert-pytorch,FALSE,1/31/2020 0:22,[],57,4,23,0,4,Jupyter Notebook,362,2,0,1,0,23,0,0,0,
aws/sagemaker-tensorflow-training-toolkit,https://github.com/aws/sagemaker-tensorflow-training-toolkit,FALSE,1/23/2018 17:41,"['aws', 'sagemaker', 'tensorflow', 'docker']",249,44,156,73,34,Python,14781,10,4,6,75,251,5,0,0,
aiwithqasim/PIAIC-Artificial-Intelligence,https://github.com/aiwithqasim/PIAIC-Artificial-Intelligence,FALSE,7/30/2020 20:42,"['python3', 'numpy', 'pandas', 'matplotlib', 'deep-learning', 'cnn', 'machine-learning', 'data-science', 'linux', 'docker']",14,1,3,0,1,Jupyter Notebook,372352,0,0,3,0,84,0,0,6,
mbohlkeschneider/psa-gan,https://github.com/mbohlkeschneider/psa-gan,FALSE,3/14/2022 15:22,[],11,2,3,0,1,Python,2625,3,0,1,0,1,0,0,0,
aws-samples/sagemaker-cv-preprocessing-training-performance,https://github.com/aws-samples/sagemaker-cv-preprocessing-training-performance,FALSE,7/13/2021 11:19,"['sagemakertraining', 'sagemakerdebugger', 'nvidiadali', 'deep-learning', 'machine-learning', 'pytorch', 'gpu', 'nvidia', 'dali']",18,10,2,0,2,Python,189,0,0,1,0,24,0,0,0,
aws-samples/sagemaker-multi-model-endpoint-tensorflow-computer-vision,https://github.com/aws-samples/sagemaker-multi-model-endpoint-tensorflow-computer-vision,FALSE,4/9/2021 14:18,"['sagemaker', 'sagemaker-deployment', 'sagemaker-multi-model-endpoint']",5,20,4,0,2,Jupyter Notebook,18806,1,1,1,0,14,0,0,0,
awshlabs/reinventGPULab,https://github.com/awshlabs/reinventGPULab,FALSE,11/21/2019 6:39,[],12,2,6,0,1,Jupyter Notebook,10362,0,0,1,0,24,0,0,0,
getsensibill/MLOps-World-2021,https://github.com/getsensibill/MLOps-World-2021,FALSE,6/14/2021 16:29,[],6,1,5,0,1,Jupyter Notebook,423,0,0,1,0,2,0,0,0,
moonjukhim/AWS,https://github.com/moonjukhim/AWS,FALSE,9/23/2020 2:35,[],5,2,3,0,1,Python,43895,0,0,1,0,610,0,0,0,
Arize-ai/client_python,https://github.com/Arize-ai/client_python,FALSE,3/5/2020 23:04,"['ml-monitoring', 'model-monitoring', 'ai-monitoring', 'performance-monitoring', 'drift-monitoring', 'data-quality-monitoring', 'ml-observability', 'ai-observability', 'model-performance-management', 'model-explainability', 'ai-roi']",18,7,5,0,9,Python,53339,0,0,1,0,135,0,0,0,
cyrusmvahid/GluonBootcamp,https://github.com/cyrusmvahid/GluonBootcamp,FALSE,6/29/2018 10:31,[],23,5,14,0,4,HTML,124149,0,0,1,0,126,0,0,0,
phamquiluan/PubLayNet,https://github.com/phamquiluan/PubLayNet,FALSE,2/22/2020 16:50,"['publaynet', 'pytorch', 'mask-rcnn', 'pretrained-models', 'object-detection', 'document-layout-analysis', 'paragraph-detection', 'table-detection', 'figure-detection']",139,4,32,0,2,Python,641,6,0,1,0,16,0,0,0,
marshmellow77/gptj-playground,https://github.com/marshmellow77/gptj-playground,FALSE,3/26/2022 8:50,[],13,1,3,0,1,Jupyter Notebook,9,0,0,2,0,2,0,0,0,
aws-samples/sagemaker-feature-store-real-time-recommendations,https://github.com/aws-samples/sagemaker-feature-store-real-time-recommendations,FALSE,11/15/2021 16:01,"['sagemaker', 'feature-store', 'feature-store-online', 'kinesis', 'kinesis-data-streams', 'kinesis-data-analytics', 'lambda']",14,1,2,0,1,Jupyter Notebook,3179,0,0,1,0,3,0,0,0,
awslabs/sagemaker-graph-fraud-detection,https://github.com/awslabs/sagemaker-graph-fraud-detection,FALSE,3/13/2020 16:51,[],67,8,26,0,3,Python,482,1,1,1,0,32,0,0,0,
shlbatra/UTAustin_GL_ML_Code,https://github.com/shlbatra/UTAustin_GL_ML_Code,FALSE,9/20/2020 3:18,[],5,4,4,0,1,Jupyter Notebook,49862,0,0,1,0,38,0,0,0,
vasveena/amazon-emr-ttt-workshop,https://github.com/vasveena/amazon-emr-ttt-workshop,FALSE,3/18/2022 17:58,[],5,1,4,0,1,HTML,36007,0,0,2,0,64,0,0,66,
kubeflow/pipelines,https://github.com/kubeflow/pipelines,FALSE,5/12/2018 0:31,"['kubeflow-pipelines', 'mlops', 'kubeflow', 'machine-learning', 'kubernetes', 'pipeline', 'data-science']",3013,102,1327,112,324,Python,320509,767,210,193,123,4590,51,0,4,
OmdenaAI/omdena-srilanka-tea-quality,https://github.com/OmdenaAI/omdena-srilanka-tea-quality,FALSE,7/21/2021 17:46,[],12,5,4,0,20,Jupyter Notebook,245952,36,36,48,0,330,1,0,0,
aws-samples/amazon-sagemaker-tsp-deep-rl,https://github.com/aws-samples/amazon-sagemaker-tsp-deep-rl,FALSE,8/26/2021 22:17,"['deep-learning', 'deep-reinforcement-learning', 'pytorch', 'reinforcement-learning']",10,6,1,0,4,Python,96,1,0,1,0,44,0,0,0,
aws-samples/amazon-sagemaker-immersion-day,https://github.com/aws-samples/amazon-sagemaker-immersion-day,FALSE,7/23/2020 19:02,[],149,13,141,0,25,Jupyter Notebook,35895,22,8,2,0,200,0,0,0,
cosmincatalin/voice-recognition-with-mxnet-and-sagemaker,https://github.com/cosmincatalin/voice-recognition-with-mxnet-and-sagemaker,FALSE,5/29/2018 11:12,"['machine-learning', 'apache-mxnet', 'mxnet', 'gluon', 'sagemaker', 'jupyter-notebook', 'aws', 'data-science', 'voice-detection', 'polly-voice', 'audio', 'audio-analysis']",6,1,1,0,1,Jupyter Notebook,63,1,0,1,0,11,0,0,0,
akueisara/deep-learning-projects,https://github.com/akueisara/deep-learning-projects,FALSE,11/3/2019 13:54,"['deep-learning', 'nanodegree', 'udacity', 'pytorch', 'python', 'deep-learning-nanodegree', 'cnn-pytorch', 'rnn-pytorch', 'gan-pytorch']",5,2,4,0,1,Jupyter Notebook,96709,0,0,2,0,24,0,0,0,
goldmermaid/MLU-MLOps-Lab,https://github.com/goldmermaid/MLU-MLOps-Lab,FALSE,3/3/2021 20:27,[],5,1,2,0,1,Jupyter Notebook,13903,0,0,1,0,59,0,0,0,
rshyamsundar/gluonts-hierarchical-ICML-2021,https://github.com/rshyamsundar/gluonts-hierarchical-ICML-2021,FALSE,7/8/2021 16:22,[],23,3,14,0,2,Python,2936,6,2,2,0,22,0,0,0,
bigdatapassionpl/aws-big-data-ai-training,https://github.com/bigdatapassionpl/aws-big-data-ai-training,FALSE,3/13/2019 14:14,[],10,2,5,0,1,Jupyter Notebook,85,4,4,5,0,61,0,0,0,
data-science-on-aws/ai4good-hackathon,https://github.com/data-science-on-aws/ai4good-hackathon,FALSE,4/19/2020 11:07,[],11,4,10,0,2,Jupyter Notebook,10171,0,0,1,0,24,0,0,0,
TrentBrick/attention-approximates-sdm,https://github.com/TrentBrick/attention-approximates-sdm,FALSE,10/26/2021 15:39,[],11,1,2,0,1,Jupyter Notebook,232128,0,0,1,0,7,0,0,0,
aws-samples/secure-data-science-reference-architecture,https://github.com/aws-samples/secure-data-science-reference-architecture,FALSE,6/18/2020 16:19,[],42,5,16,0,3,Jupyter Notebook,3523,7,2,4,0,51,0,0,0,
EnggQasim/Sagemaker,https://github.com/EnggQasim/Sagemaker,FALSE,8/6/2021 10:21,[],14,4,26,0,1,Python,148664,1,0,1,0,18,0,0,0,
C24IO/SageMaker-AutoLoad,https://github.com/C24IO/SageMaker-AutoLoad,FALSE,3/11/2021 16:59,[],7,3,2,0,1,Jupyter Notebook,65,0,0,1,0,3,0,0,0,
svpino/tensorflow-object-detection-sagemaker,https://github.com/svpino/tensorflow-object-detection-sagemaker,FALSE,11/14/2019 20:18,[],7,2,5,0,2,Python,132072,1,0,2,1,26,0,0,0,
sirimuppala/amazon-sagemaker-multi-model-endpoints-model-monitoring,https://github.com/sirimuppala/amazon-sagemaker-multi-model-endpoints-model-monitoring,FALSE,11/11/2019 16:39,[],17,3,18,0,2,Jupyter Notebook,5544,1,0,1,0,65,0,0,0,
aws-samples/amazon-lookout-for-equipment,https://github.com/aws-samples/amazon-lookout-for-equipment,FALSE,4/10/2021 8:23,[],12,23,6,0,6,Jupyter Notebook,54540,0,0,3,0,67,0,0,0,
apac-ml-tfc/sagemaker-workshop-101,https://github.com/apac-ml-tfc/sagemaker-workshop-101,FALSE,2/24/2020 9:40,['sagemaker'],44,7,26,0,4,Jupyter Notebook,585,2,2,3,0,74,0,0,0,
